###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./metadata_2023-10-04-17h-48m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Related File Relationship	Related File	Paired End	File Status	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-processed/4DNFI2524N9B/@@download/4DNFI2524N9B.bed.gz	4DNESE6YWC82	N/A	4DNFI2524N9B	0.00	fac83d533167cd6e462eaceed9bbad87	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	LMNB2 protein	K562 (Tier 2)	pADamID on K562	LaminB2 antibody - G2 sorted cells	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/40ff165d-df5e-4c8c-9bbb-ba9f7211aea1/4DNFI2524N9B.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI26HXCAV/@@download/4DNFI26HXCAV.bed.gz	N/A	4DNEXBKQWQDF	4DNFI26HXCAV	0.00	18f3d704243d43eb2b88da0cfa443f26	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 1, Techrep 1	LMNB2 protein	K562 (Tier 2)	pADamID on K562	LaminB2 antibody	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/916606f3-5d19-424c-a8e1-fd409e5955f6/4DNFI26HXCAV.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI27V5D4I/@@download/4DNFI27V5D4I.bed.gz	N/A	4DNEXEDXB3RZ	4DNFI27V5D4I	0.01	c5702369604383e509b5b2ab94163034	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 1, Techrep 1	LMNB2 protein	RPE-hTERT (Tier 2)	pADamID on RPE	LaminB2 antibody - synchronized 1h after mitotic shakeoff	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/97633348-d31f-43ec-b631-2eef39424bf6/4DNFI27V5D4I.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI284PGDY/@@download/4DNFI284PGDY.bed.gz	N/A	4DNEXFUGLVQA	4DNFI284PGDY	0.01	641d5dec978065b5176f8bc4989d8e17	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	HFFc6 (Tier 1)	DamID-seq on HFFc6 cells (2017-12-14)	LaminB1-Dam	20 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6f029288-998d-4745-8e42-0037b1eddf56/4DNFI284PGDY.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI2BGIZ5F/@@download/4DNFI2BGIZ5F.bed.gz	N/A	4DNEX7IU6V9M	4DNFI2BGIZ5F	0.01	b91a816818823f4a43cec0a49e5462c6	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b0895ca7-061b-4105-b847-0ffb794098b6/4DNFI2BGIZ5F.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI2CQT22I/@@download/4DNFI2CQT22I.bed.gz	N/A	4DNEXOHWI5ME	4DNFI2CQT22I	0.00	af7502cbc433f8ba30077b92653f0a31	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 1, Techrep 1	LMNB2 protein	RPE-hTERT (Tier 2)	pADamID on RPE	LaminB2 antibody - synchronized 3h after mitotic shakeoff	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a5818acb-1554-47c0-b003-f84e0f77dd7f/4DNFI2CQT22I.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI2D7CX76/@@download/4DNFI2D7CX76.bed.gz	4DNES6B7VKXJ	N/A	4DNFI2D7CX76	0.03	c26c8d9b144633c0d9fb5ef030497f33	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	H3K27me3	HAP-1 (Tier 2)	pADamID on Hap1	H3K27me3 antibody	5kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/77630e76-301e-42fa-b234-426c99091d4a/4DNFI2D7CX76.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI2H4SMHF/@@download/4DNFI2H4SMHF.bed.gz	N/A	4DNEXARTXZ9G	4DNFI2H4SMHF	0.01	86025d23c78da628d464a6ea70dda137	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	U2OS	DamID-seq on U2OS cells (2020-07-01)	LaminB1-Dam	10kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/363ae235-aef1-43cb-828a-09ce703263b3/4DNFI2H4SMHF.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI2KRR899/@@download/4DNFI2KRR899.bed.gz	N/A	4DNEXWUML465	4DNFI2KRR899	0.00	27c3412c10d09c720a185dea8095d29e	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 2, Techrep 1	LMNB2 protein	HAP-1 (Tier 2)	pADamID on Hap1	LaminB2 antibody - S sorted cells	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/106e73c0-2bea-4bec-9e61-e533181037ff/4DNFI2KRR899.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI2ONEXV9/@@download/4DNFI2ONEXV9.bed.gz	N/A	4DNEXUETIY2D	4DNFI2ONEXV9	0.00	613cca487e79afeddbe8446c85370c66	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 2, Techrep 1	LMNB1 protein	HAP-1 (Tier 2)	pADamID on Hap1	LaminB1 antibody	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/27b4f51f-63c2-499e-aa9c-9e8432e89fbc/4DNFI2ONEXV9.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI2QZ6PT3/@@download/4DNFI2QZ6PT3.bed.gz	N/A	4DNEXHIADWI3	4DNFI2QZ6PT3	0.00	4e12a45ac9a6203e02b1207bb959b713	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 1, Techrep 1	LMNB2 protein	HCT116 (Tier 2)	pADamID on HCT116	LaminB2 antibody - G2 sorted cells	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e826f995-69d7-46b6-8f37-d44b9e723087/4DNFI2QZ6PT3.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI2S5DYF7/@@download/4DNFI2S5DYF7.bed.gz	4DNESC4AGERI	N/A	4DNFI2S5DYF7	0.02	42172640f7ef4c5455670c5b8d875d29	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	N/A	HAP-1 (Tier 2)	pADamID on Hap1	pADam-only control	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/73360d1c-78d4-49cb-b50b-61fec38c86cd/4DNFI2S5DYF7.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI2UW6E2G/@@download/4DNFI2UW6E2G.bed.gz	4DNESIJSQUF9	N/A	4DNFI2UW6E2G	0.00	b683b9cc601d74029d102dba955aa3c4	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	LMNB2 protein	HCT116 (Tier 2)	pADamID on HCT116	LaminB2 antibody - S sorted cells	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/019c7a40-d45b-489c-9851-6e6c25c8c596/4DNFI2UW6E2G.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI2VWOBQF/@@download/4DNFI2VWOBQF.bed.gz	N/A	4DNEXHVP491X	4DNFI2VWOBQF	0.02	eecee41e5bdb3f3aaeff1c04b2cd19f7	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 4, Techrep 1	LMNB2 protein	RPE-hTERT (Tier 2)	pADamID on RPE	LaminB2 antibody	5kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/537abf87-3ce6-4909-a4d0-1bd1d59d4694/4DNFI2VWOBQF.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI2WK5DEL/@@download/4DNFI2WK5DEL.bed.gz	N/A	4DNEXTUVS1R6	4DNFI2WK5DEL	0.00	7d385b922cc0f2349ebc9391b981bad0	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 1, Techrep 1	LMNB2 protein	K562 (Tier 2)	pADamID on K562	LaminB2 antibody - G2 sorted cells	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2964896d-78fa-4881-83e2-bee37df8d675/4DNFI2WK5DEL.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI2ZDPLZA/@@download/4DNFI2ZDPLZA.bed.gz	N/A	4DNEXSM5KWJI	4DNFI2ZDPLZA	0.01	7bcdb776dac5db15d15953c956a54cf1	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 1, Techrep 1	Lmnb1 mouse protein	F121-9-CASTx129 (Tier 2)	DamID-seq on F121-9 cells (2018-10-22)	LaminB1-Dam	10 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8a9ef766-8501-4b96-adc5-11408675e514/4DNFI2ZDPLZA.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI32K5L77/@@download/4DNFI32K5L77.bed.gz	4DNESYPMROEJ	N/A	4DNFI32K5L77	0.00	6642745845d48118774add37948b06a0	LADs	bed	N/A	N/A	N/A	released	DamID-seq	merged replicates	Lmnb1 mouse protein	F121-9-CASTx129 (Tier 2)	DamID-seq on F121-9 cells (2018-10-22)	LaminB1-Dam	250 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c1e61283-22b3-4343-ae94-1a905cd9562d/4DNFI32K5L77.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI33L8UQ5/@@download/4DNFI33L8UQ5.bed.gz	4DNESLW3KNDU	N/A	4DNFI33L8UQ5	0.01	b9c770ea7df53bbca1f90824d88226f4	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	LMNB2 protein	RPE-hTERT (Tier 2)	pADamID on RPE	LaminB2 antibody	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a6bceda1-bd80-43d1-8986-df35cbb9d4af/4DNFI33L8UQ5.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI396W2WY/@@download/4DNFI396W2WY.bed.gz	N/A	4DNEXFUGLVQA	4DNFI396W2WY	0.05	d70107f254f02dd45a056e0f6d2ff7c3	LADs	bed	parent of	4DNFILF4TTUG	N/A	archived	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	HFFc6 (Tier 1)	DamID-seq on HFFc6 cells (2017-12-14)	LaminB1-Dam	Archived Processed Files from Previous Pipeline Runs	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/781c8fa7-f61b-4a3d-883f-22b54419a978/4DNFI396W2WY.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI3CDHRY8/@@download/4DNFI3CDHRY8.bed.gz	4DNESMZMBW74	N/A	4DNFI3CDHRY8	0.01	b6ffe62c5d36069292e34eec04e553b5	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	LMNB2 protein	HCT116 (Tier 2)	pADamID on HCT116	LaminB2 antibody	5kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ca3fe8dc-a0c8-4bf5-acd1-ff0ed5488d26/4DNFI3CDHRY8.bed.gz
